##BLOCKS= 2          																					
Plate:	Plate#1	1.3	PlateFormat	Spectrum	Absorbance	Raw	FALSE	41			350	750	10			1	12	96	1	8	None
		0.281917	0.256917	0.246917	0.299917	0.240917	0.265917	0.289917	0.310917	0.350917	0.251917	0.365917	0.295917								
		0.238917	0.255917	0.336917	0.270917	0.411917	0.331917	0.251917	0.374917	0.419917	0.357917	0.481917	0.313917								
		0.405917	0.361917	0.436917	0.435917	0.377917	0.282917	0.530917	0.393917	0.287917	0.385917	0.406917	0.290917								
		0.384917	0.338917	0.305917	0.372917	0.346917	0.388917	0.388917	0.420917	0.444917	0.329917	0.306917	0.395917								
		0.086917	-0.017083	0.060917	-0.021083	0.023917	0.047917	-0.035083	-0.033083	-0.032083	-0.030083	-0.027083	-0.024083								
		-0.032083	-0.032083	-0.035083	-0.033083	-0.034083	-0.033083	-0.031083	-0.033083	-0.034083	-0.024083	-0.029083	-0.034083								
																					
480	20.2	1.026583	0.891583	0.236583	0.333583	0.226583	0.354583	0.522583	0.470583	0.471583	0.753583	0.457583	0.586583								
		0.229583	0.190583	0.223583	0.334583	0.287583	0.245583	0.251583	0.468583	0.303583	0.379583	0.770583	0.464583								
		0.272583	0.242583	0.228583	0.274583	0.220583	0.243583	0.265583	0.282583	0.317583	0.228583	0.334583	0.274583								
		0.216583	0.230583	0.304583	0.243583	0.368583	0.298583	0.225583	0.391583	0.434583	0.376583	0.492583	0.335583								
		0.420583	0.378583	0.445583	0.456583	0.397583	0.303583	0.535583	0.413583	0.305583	0.395583	0.417583	0.308583								
		0.396583	0.358583	0.323583	0.385583	0.363583	0.394583	0.404583	0.429583	0.456583	0.347583	0.315583	0.406583								
		0.086583	-0.018417	0.060583	-0.020417	0.022583	0.047583	-0.034417	-0.032417	-0.031417	-0.030417	-0.026417	-0.023417								
		-0.031417	-0.032417	-0.034417	-0.033417	-0.034417	-0.032417	-0.031417	-0.032417	-0.034417	-0.023417	-0.028417	-0.033417								
																					
490	20.2	1.04	0.899	0.226	0.299	0.189	0.285	0.445	0.413	0.422	0.681	0.403	0.539								
		0.195	0.161	0.191	0.303	0.258	0.237	0.236	0.493	0.309	0.385	0.761	0.456								
		0.272	0.237	0.216	0.258	0.207	0.227	0.247	0.263	0.296	0.209	0.313	0.257								
		0.199	0.212	0.278	0.222	0.337	0.272	0.205	0.407	0.46	0.392	0.492	0.351								
		0.434	0.391	0.459	0.466	0.418	0.325	0.542	0.422	0.329	0.408	0.425	0.323								
		0.413	0.377	0.343	0.399	0.379	0.405	0.42	0.444	0.467	0.365	0.323	0.426								
		0.087	-0.017	0.06	-0.021	0.023	0.048	-0.035	-0.032	-0.032	-0.03	-0.027	-0.024								
		-0.032	-0.033	-0.035	-0.034	-0.034	-0.033	-0.031	-0.033	-0.035	-0.024	-0.029	-0.034								
																					
500	20.3	1.050917	0.891917	0.218917	0.266917	0.153917	0.220917	0.380917	0.365917	0.383917	0.620917	0.361917	0.505917								
		0.166917	0.136917	0.164917	0.280917	0.237917	0.241917	0.232917	0.550917	0.336917	0.406917	0.783917	0.461917								
		0.291917	0.245917	0.217917	0.255917	0.205917	0.223917	0.242917	0.257917	0.290917	0.203917	0.304917	0.249917								
		0.191917	0.203917	0.265917	0.211917	0.321917	0.258917	0.194917	0.424917	0.457917	0.406917	0.508917	0.368917								
		0.443917	0.404917	0.475917	0.479917	0.435917	0.345917	0.544917	0.445917	0.354917	0.420917	0.442917	0.338917								
		0.424917	0.394917	0.360917	0.411917	0.393917	0.416917	0.429917	0.455917	0.479917	0.378917	0.325917	0.434917								
		0.085917	-0.018083	0.059917	-0.020083	0.022917	0.046917	-0.034083	-0.032083	-0.031083	-0.030083	-0.027083	-0.023083								
		-0.031083	-0.032083	-0.034083	-0.033083	-0.033083	-0.032083	-0.031083	-0.032083	-0.034083	-0.024083	-0.028083	-0.033083								
																					
